110.33,77.67,26.48
46.61,96.84,25.58
39.48,68.46,23.23
29.48,37.85,23.27
89.3,53.94,27.85
28.4,56.45,23.74
139.37,50.72,28.36
21.09,17.41,21.05
20.05,68.55,23.05
125.28,54.63,29.19
39.85,97.08,25.64
116.77,10.17,25.52
30.33,33.03,22.93
32.05,16.32,23.14
78.06,17.29,23.77
58.45,10.34,22.71
120.17,98.91,27.05
84.73,78.77,26.81
36.09,56.58,22.29
48.1,26.8,23.91
48.0,54.07,25.98
83.15,67.58,24.88
133.62,65.4,27.71
60.89,10.85,21.46
33.27,59.9,21.78
51.23,55.43,25.23
65.73,13.71,23.27
83.26,90.16,27.34
62.8,59.7,23.54
27.85,74.33,23.55
88.67,50.14,27.49
140.59,13.64,29.22
92.79,79.5,27.68
130.15,48.04,27.94
49.61,82.05,24.79
95.49,10.65,26.92
85.21,93.32,28.18
24.94,79.11,25.4
120.24,83.64,27.4
40.47,26.41,21.21
35.43,43.79,23.09
68.94,59.49,27.03
89.48,57.9,27.13
56.61,20.65,22.24
86.72,64.35,27.14
104.1,91.98,26.65
72.9,77.56,25.42
83.66,67.56,25.04
71.13,33.5,24.62
140.67,19.96,26.64
130.44,57.3,28.13
133.36,26.86,29.45
34.67,26.77,20.66
77.48,81.66,25.39
39.1,62.9,23.61
33.72,65.55,22.45
148.04,76.99,29.39
102.81,65.91,27.44
27.22,68.93,22.06
48.47,51.77,22.58
120.63,48.31,29.32
129.51,48.91,28.67
45.94,36.28,22.21
21.73,69.77,21.22
127.8,79.88,27.87
87.8,98.65,25.67
98.27,42.63,25.72
40.37,25.99,22.29
105.2,94.04,28.03
108.11,86.04,29.16
111.02,73.44,26.36
111.26,66.57,28.47
81.75,36.2,27.08
33.81,53.27,24.68
97.54,29.77,26.42
149.97,91.45,28.58
42.73,85.89,23.14
77.37,43.73,25.01
112.19,86.13,29.08
43.02,33.38,23.49
26.05,31.42,21.57
44.99,31.02,23.73
123.32,41.61,26.63
65.2,62.11,25.16
134.72,74.67,27.43
127.84,50.84,29.84
112.8,13.39,26.5
117.59,50.81,27.88
28.35,83.37,22.62
23.19,69.31,23.36
97.4,56.29,24.77
53.1,33.75,21.86
58.03,81.21,24.71
50.54,51.56,22.74
37.8,54.8,23.93
88.03,15.58,24.06
22.11,52.4,21.71
28.49,31.98,23.51
130.47,99.84,27.58
31.73,39.96,22.89
55.95,36.65,22.67
78.8,80.33,27.27
138.42,29.48,28.96
65.19,72.17,27.21
118.89,74.49,29.86
104.27,56.31,27.25
105.06,19.57,27.76
99.17,59.77,28.47
128.85,33.05,26.33
54.84,13.8,22.97
135.53,55.01,28.84
